Class_7.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
Date,java.util.Date,java.util.Date,1,-,-,0,1
Comparator,java.util.Comparator,java.util.Comparator,1,java.util.Comparator,java.util.Comparator,1,1
SimpleDateFormat,java.text.SimpleDateFormat,java.text.SimpleDateFormat,1,java.text.SimpleDateFormat,java.text.SimpleDateFormat,1,1
SimpleDateFormat,java.text.SimpleDateFormat,java.text.SimpleDateFormat,1,java.text.SimpleDateFormat,java.text.SimpleDateFormat,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
ParseException,java.text.ParseException,java.text.ParseException,1,java.text.ParseException,java.text.ParseException,1,1
Collections,java.util.Collections,java.util.Collections,1,java.util.Collections,java.util.Collections,1,1
dl_correct:8,dl_precision:1.0,,rule_correct:7,rule_checked:7,rule_precision:1.0,rule_recall:0.875
checked:8,total correct:8,total precision:1.0
