Class_11.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
FileWriter,java.io.FileWriter,java.io.FileWriter,1,java.io.FileWriter,java.io.FileWriter,1,1
FileWriter,java.io.FileWriter,java.io.FileWriter,1,java.io.FileWriter,java.io.FileWriter,1,1
BufferedWriter,java.io.BufferedWriter,java.io.BufferedWriter,1,java.io.BufferedWriter,java.io.BufferedWriter,1,1
BufferedWriter,java.io.BufferedWriter,java.io.BufferedWriter,1,java.io.BufferedWriter,java.io.BufferedWriter,1,1
JFileChooser,javax.swing.JFileChooser,javax.swing.JFileChooser,1,javax.swing.JFileChooser,javax.swing.JFileChooser,1,1
new JFileChooser(),javax.swing.JFileChooser,javax.swing.JFileChooser,1,javax.swing.JFileChooser,javax.swing.JFileChooser,1,1
dl_correct:8,dl_precision:1.0,,rule_correct:8,rule_checked:8,rule_precision:1.0,rule_recall:1.0
checked:8,total correct:8,total precision:1.0
