xstream_class_1.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Converter,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,com.sun.xml.internal.ws.commons.xmlutil.Converter,com.thoughtworks.xstream.converters.Converter,0,0
HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,1
UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,1
HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,1
MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,1
dl_correct:5,dl_accuracy:1.0,,rule_correct:4,rule_checked:5,rule_accuracy:0.8,rule_recall:0.8
checked:5,total correct:4,total accuracy:0.8

xstream_class_10.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
StringWriter,java.io.StringWriter,java.io.StringWriter,1,java.io.StringWriter,java.io.StringWriter,1,1
new StringWriter(),java.io.StringWriter,java.io.StringWriter,1,java.io.StringWriter,java.io.StringWriter,1,1
PrettyPrintWriter,com.thoughtworks.xstream.io.xml.PrettyPrintWriter,com.thoughtworks.xstream.io.xml.PrettyPrintWriter,1,com.thoughtworks.xstream.io.xml.PrettyPrintWriter,com.thoughtworks.xstream.io.xml.PrettyPrintWriter,1,1
dl_correct:4,dl_accuracy:1.0,,rule_correct:4,rule_checked:4,rule_accuracy:1.0,rule_recall:1.0
checked:4,total correct:4,total accuracy:1.0

xstream_class_11.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
new XStream(),com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
ClassAliasingMapper,com.thoughtworks.xstream.mapper.ClassAliasingMapper,com.thoughtworks.xstream.mapper.ClassAliasingMapper,1,com.thoughtworks.xstream.mapper.ClassAliasingMapper,com.thoughtworks.xstream.mapper.ClassAliasingMapper,1,1
ClassAliasingMapper,com.thoughtworks.xstream.mapper.ClassAliasingMapper,com.thoughtworks.xstream.mapper.ClassAliasingMapper,1,com.thoughtworks.xstream.mapper.ClassAliasingMapper,com.thoughtworks.xstream.mapper.ClassAliasingMapper,1,1
CollectionConverter,com.thoughtworks.xstream.converters.collections.CollectionConverter,com.thoughtworks.xstream.converters.collections.CollectionConverter,1,com.thoughtworks.xstream.converters.collections.CollectionConverter,com.thoughtworks.xstream.converters.collections.CollectionConverter,1,1
dl_correct:7,dl_accuracy:1.0,,rule_correct:7,rule_checked:7,rule_accuracy:1.0,rule_recall:1.0
checked:7,total correct:7,total accuracy:1.0

xstream_class_12.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Converter,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,1
HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,1
MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,1
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,1
UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,1
dl_correct:6,dl_accuracy:1.0,,rule_correct:6,rule_checked:6,rule_accuracy:1.0,rule_recall:1.0
checked:6,total correct:6,total accuracy:1.0

xstream_class_13.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
ClassAliasingMapper,com.thoughtworks.xstream.mapper.ClassAliasingMapper,com.thoughtworks.xstream.mapper.ClassAliasingMapper,1,com.thoughtworks.xstream.mapper.ClassAliasingMapper,com.thoughtworks.xstream.mapper.ClassAliasingMapper,1,1
Mapper,com.thoughtworks.xstream.mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,1,com.thoughtworks.xstream.mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,1,1
dl_correct:2,dl_accuracy:1.0,,rule_correct:2,rule_checked:2,rule_accuracy:1.0,rule_recall:1.0
checked:2,total correct:2,total accuracy:1.0

xstream_class_14.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
AbstractSingleValueConverter,com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter,com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter,1,com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter,com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter,1,1
dl_correct:1,dl_accuracy:1.0,,rule_correct:1,rule_checked:1,rule_accuracy:1.0,rule_recall:1.0
checked:1,total correct:1,total accuracy:1.0

xstream_class_16.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
